index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
0;32;0.01;0.001;50;0.784
1;32;0.01;0.001;100;0.801
2;32;0.01;0.001;150;0.805
3;32;0.01;0.001;200;0.811
4;32;0.01;0.001;250;0.807
5;32;0.01;0.001;300;0.809
6;32;0.01;0.001;350;0.81
7;32;0.01;0.001;400;0.808
8;32;0.01;0.001;450;0.809
9;32;0.01;0.001;500;0.81
10;32;0.01;0.001;600;0.808
11;32;0.01;0.001;700;0.811
12;32;0.01;0.001;800;0.808
13;32;0.01;0.001;900;0.81
14;32;0.01;0.001;1000;0.807
15;32;0.01;0.001;1500;0.809
16;32;0.01;0.001;2000;0.809
17;32;0.01;0.001;3000;0.81
18;32;0.01;0.001;4000;0.811
