index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
0;2;0.001;0.0001;500;0.364
1;4;0.001;0.0001;500;0.675
2;8;0.001;0.0001;500;0.761
3;10;0.001;0.0001;500;0.749
4;16;0.001;0.0001;500;0.815
5;32;0.001;0.0001;500;0.803
6;48;0.001;0.0001;500;0.803
7;50;0.001;0.0001;500;0.811
8;64;0.001;0.0001;500;0.809
9;80;0.001;0.0001;500;0.809
10;100;0.001;0.0001;500;0.806
11;128;0.001;0.0001;500;0.812
12;150;0.001;0.0001;500;0.81
13;200;0.001;0.0001;500;0.813
14;256;0.001;0.0001;500;0.814
15;300;0.001;0.0001;500;0.815
16;350;0.001;0.0001;500;0.811
17;400;0.001;0.0001;500;0.815
18;450;0.001;0.0001;500;0.808
19;500;0.001;0.0001;500;0.811
20;512;0.001;0.0001;500;0.811
