index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
0;16;0.001;0.1;100;0.147
1;16;0.001;0.1;200;0.147
2;16;0.001;0.1;300;0.146
3;16;0.001;0.1;500;0.149
4;16;0.001;0.1;700;0.145
5;16;0.001;0.01;100;0.457
6;16;0.001;0.01;200;0.321
7;16;0.001;0.01;300;0.265
8;16;0.001;0.01;500;0.194
9;16;0.001;0.01;700;0.174
10;16;0.001;0.001;100;0.663
11;16;0.001;0.001;200;0.754
12;16;0.001;0.001;300;0.794
13;16;0.001;0.001;500;0.816
14;16;0.001;0.001;700;0.819
15;16;0.001;0.0001;100;0.706
16;16;0.001;0.0001;200;0.763
17;16;0.001;0.0001;300;0.799
18;16;0.001;0.0001;500;0.815
19;16;0.001;0.0001;700;0.81
20;16;0.01;0.1;100;0.064
21;16;0.01;0.1;200;0.091
22;16;0.01;0.1;300;0.144
23;16;0.01;0.1;500;0.13
24;16;0.01;0.1;700;0.144
25;16;0.01;0.01;100;0.151
26;16;0.01;0.01;200;0.148
27;16;0.01;0.01;300;0.148
28;16;0.01;0.01;500;0.148
29;16;0.01;0.01;700;0.148
30;16;0.01;0.001;100;0.813
31;16;0.01;0.001;200;0.806
32;16;0.01;0.001;300;0.807
33;16;0.01;0.001;500;0.807
34;16;0.01;0.001;700;0.811
35;16;0.01;0.0001;100;0.808
36;16;0.01;0.0001;200;0.817
37;16;0.01;0.0001;300;0.81
38;16;0.01;0.0001;500;0.807
39;16;0.01;0.0001;700;0.805
40;16;0.05;0.1;100;0.09
41;16;0.05;0.1;200;0.091
42;16;0.05;0.1;300;0.064
43;16;0.05;0.1;500;0.091
44;16;0.05;0.1;700;0.319
45;16;0.05;0.01;100;0.151
46;16;0.05;0.01;200;0.148
47;16;0.05;0.01;300;0.146
48;16;0.05;0.01;500;0.15
49;16;0.05;0.01;700;0.147
50;16;0.05;0.001;100;0.808
51;16;0.05;0.001;200;0.806
52;16;0.05;0.001;300;0.803
53;16;0.05;0.001;500;0.803
54;16;0.05;0.001;700;0.81
55;16;0.05;0.0001;100;0.809
56;16;0.05;0.0001;200;0.807
57;16;0.05;0.0001;300;0.807
58;16;0.05;0.0001;500;0.806
59;16;0.05;0.0001;700;0.806
60;16;0.1;0.1;100;0.103
61;16;0.1;0.1;200;0.091
62;16;0.1;0.1;300;0.13
63;16;0.1;0.1;500;0.144
64;16;0.1;0.1;700;0.064
65;16;0.1;0.01;100;0.159
66;16;0.1;0.01;200;0.175
67;16;0.1;0.01;300;0.143
68;16;0.1;0.01;500;0.152
69;16;0.1;0.01;700;0.152
70;16;0.1;0.001;100;0.811
71;16;0.1;0.001;200;0.801
72;16;0.1;0.001;300;0.809
73;16;0.1;0.001;500;0.811
74;16;0.1;0.001;700;0.8
75;16;0.1;0.0001;100;0.805
76;16;0.1;0.0001;200;0.805
77;16;0.1;0.0001;300;0.808
78;16;0.1;0.0001;500;0.807
