index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
0;16;0.001;0.01;100;0.5526315789473685
1;16;0.001;0.01;200;0.5526315789473685
2;16;0.001;0.01;300;0.6052631578947368
3;16;0.001;0.01;500;0.631578947368421
4;16;0.001;0.01;700;0.631578947368421
5;16;0.001;0.001;100;0.5526315789473685
6;16;0.001;0.001;200;0.631578947368421
7;16;0.001;0.001;300;0.631578947368421
8;16;0.001;0.001;500;0.631578947368421
9;16;0.001;0.001;700;0.631578947368421
10;16;0.001;0.0001;100;0.5526315789473685
11;16;0.001;0.0001;200;0.631578947368421
12;16;0.001;0.0001;300;0.6052631578947368
13;16;0.001;0.0001;500;0.6052631578947368
14;16;0.001;0.0001;700;0.6052631578947368
15;16;0.01;0.01;100;0.6578947368421053
16;16;0.01;0.01;200;0.631578947368421
17;16;0.01;0.01;300;0.6578947368421053
18;16;0.01;0.01;500;0.631578947368421
19;16;0.01;0.01;700;0.631578947368421
20;16;0.01;0.001;100;0.631578947368421
21;16;0.01;0.001;200;0.631578947368421
22;16;0.01;0.001;300;0.631578947368421
23;16;0.01;0.001;500;0.631578947368421
24;16;0.01;0.001;700;0.631578947368421
25;16;0.01;0.0001;100;0.6052631578947368
26;16;0.01;0.0001;200;0.6052631578947368
27;16;0.01;0.0001;300;0.631578947368421
28;16;0.01;0.0001;500;0.6052631578947368
