index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
0;32;0.01;0.001;50;0.7105263157894737
1;32;0.01;0.001;100;0.7105263157894737
2;32;0.01;0.001;150;0.7368421052631579
3;32;0.01;0.001;200;0.7368421052631579
4;32;0.01;0.001;250;0.7368421052631579
5;32;0.01;0.001;300;0.7105263157894737
6;32;0.01;0.001;350;0.7368421052631579
7;32;0.01;0.001;400;0.7368421052631579
8;32;0.01;0.001;450;0.7368421052631579
9;32;0.01;0.001;500;0.7368421052631579
10;32;0.01;0.001;600;0.7105263157894737
11;32;0.01;0.001;700;0.7368421052631579
12;32;0.01;0.001;800;0.7368421052631579
13;32;0.01;0.001;900;0.7368421052631579
14;32;0.01;0.001;1000;0.7368421052631579
15;32;0.01;0.001;1500;0.7368421052631579
16;32;0.01;0.001;2000;0.7368421052631579
17;32;0.01;0.001;3000;0.7105263157894737
18;32;0.01;0.001;4000;0.7105263157894737
