index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
0;2;0.001;0.001;500;0.631578947368421
1;4;0.001;0.001;500;0.6578947368421053
2;8;0.001;0.001;500;0.7105263157894737
3;10;0.001;0.001;500;0.7368421052631579
4;16;0.001;0.001;500;0.7368421052631579
5;32;0.001;0.001;500;0.7368421052631579
6;48;0.001;0.001;500;0.7368421052631579
7;50;0.001;0.001;500;0.7105263157894737
8;64;0.001;0.001;500;0.7105263157894737
9;80;0.001;0.001;500;0.7105263157894737
10;100;0.001;0.001;500;0.7105263157894737
11;128;0.001;0.001;500;0.7368421052631579
12;150;0.001;0.001;500;0.7105263157894737
13;200;0.001;0.001;500;0.7368421052631579
14;256;0.001;0.001;500;0.7368421052631579
15;300;0.001;0.001;500;0.7105263157894737
16;350;0.001;0.001;500;0.7368421052631579
17;400;0.001;0.001;500;0.7368421052631579
18;450;0.001;0.001;500;0.7105263157894737
19;500;0.001;0.001;500;0.7368421052631579
20;512;0.001;0.001;500;0.7368421052631579
