index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
0;16;0.001;0.01;100;0.6842105263157895
1;16;0.001;0.01;200;0.6842105263157895
2;16;0.001;0.01;300;0.7368421052631579
3;16;0.001;0.01;500;0.7631578947368421
4;16;0.001;0.001;100;0.7368421052631579
5;16;0.001;0.001;200;0.7894736842105263
6;16;0.001;0.001;300;0.8157894736842105
7;16;0.001;0.001;500;0.8157894736842105
8;16;0.001;0.0001;100;0.7368421052631579
9;16;0.001;0.0001;200;0.8157894736842105
10;16;0.001;0.0001;300;0.8157894736842105
11;16;0.001;0.0001;500;0.8157894736842105
12;16;0.01;0.01;100;0.7105263157894737
13;16;0.01;0.01;200;0.7631578947368421
14;16;0.01;0.01;300;0.7631578947368421
15;16;0.01;0.01;500;0.7631578947368421
16;16;0.01;0.001;100;0.8157894736842105
17;16;0.01;0.001;200;0.8157894736842105
18;16;0.01;0.001;300;0.8157894736842105
19;16;0.01;0.001;500;0.8157894736842105
20;16;0.01;0.0001;100;0.8157894736842105
21;16;0.01;0.0001;200;0.7631578947368421
22;16;0.01;0.0001;300;0.7631578947368421
23;16;0.01;0.0001;500;0.7894736842105263
24;16;0.1;0.01;100;0.7894736842105263
25;16;0.1;0.01;200;0.6842105263157895
26;16;0.1;0.01;300;0.7631578947368421
27;16;0.1;0.01;500;0.7368421052631579
28;16;0.1;0.001;100;0.7631578947368421
29;16;0.1;0.001;200;0.7105263157894737
30;16;0.1;0.001;300;0.7631578947368421
31;16;0.1;0.001;500;0.7631578947368421
32;16;0.1;0.0001;100;0.7105263157894737
33;16;0.1;0.0001;200;0.7894736842105263
34;16;0.1;0.0001;300;0.7894736842105263
35;16;0.1;0.0001;500;0.7368421052631579
36;32;0.001;0.01;100;0.6842105263157895
37;32;0.001;0.01;200;0.6842105263157895
38;32;0.001;0.01;300;0.7631578947368421
39;32;0.001;0.01;500;0.7631578947368421
40;32;0.001;0.001;100;0.7631578947368421
41;32;0.001;0.001;200;0.8157894736842105
42;32;0.001;0.001;300;0.8157894736842105
43;32;0.001;0.001;500;0.8157894736842105
44;32;0.001;0.0001;100;0.7894736842105263
45;32;0.001;0.0001;200;0.8157894736842105
46;32;0.001;0.0001;300;0.8157894736842105
47;32;0.001;0.0001;500;0.7631578947368421
48;32;0.01;0.01;100;0.7631578947368421
49;32;0.01;0.01;200;0.7631578947368421
50;32;0.01;0.01;300;0.7894736842105263
51;32;0.01;0.01;500;0.7631578947368421
52;32;0.01;0.001;100;0.8157894736842105
53;32;0.01;0.001;200;0.7894736842105263
54;32;0.01;0.001;300;0.8157894736842105
55;32;0.01;0.001;500;0.7894736842105263
56;32;0.01;0.0001;100;0.8157894736842105
57;32;0.01;0.0001;200;0.7894736842105263
58;32;0.01;0.0001;300;0.7894736842105263
59;32;0.01;0.0001;500;0.7631578947368421
60;32;0.1;0.01;100;0.7631578947368421
61;32;0.1;0.01;200;0.7631578947368421
62;32;0.1;0.01;300;0.8157894736842105
63;32;0.1;0.01;500;0.7368421052631579
64;32;0.1;0.001;100;0.8157894736842105
65;32;0.1;0.001;200;0.8157894736842105
66;32;0.1;0.001;300;0.8157894736842105
67;32;0.1;0.001;500;0.8157894736842105
68;32;0.1;0.0001;100;0.8157894736842105
69;32;0.1;0.0001;200;0.8157894736842105
70;32;0.1;0.0001;300;0.6578947368421053
71;32;0.1;0.0001;500;0.8157894736842105
72;64;0.001;0.01;100;0.6842105263157895
73;64;0.001;0.01;200;0.7631578947368421
74;64;0.001;0.01;300;0.7631578947368421
75;64;0.001;0.01;500;0.7631578947368421
76;64;0.001;0.001;100;0.7894736842105263
77;64;0.001;0.001;200;0.8157894736842105
78;64;0.001;0.001;300;0.8157894736842105
79;64;0.001;0.001;500;0.7894736842105263
80;64;0.001;0.0001;100;0.8157894736842105
81;64;0.001;0.0001;200;0.8157894736842105
82;64;0.001;0.0001;300;0.8157894736842105
83;64;0.001;0.0001;500;0.7631578947368421
84;64;0.01;0.01;100;0.7631578947368421
85;64;0.01;0.01;200;0.7631578947368421
86;64;0.01;0.01;300;0.7631578947368421
87;64;0.01;0.01;500;0.7894736842105263
88;64;0.01;0.001;100;0.8157894736842105
89;64;0.01;0.001;200;0.7894736842105263
90;64;0.01;0.001;300;0.7894736842105263
91;64;0.01;0.001;500;0.7894736842105263
92;64;0.01;0.0001;100;0.8157894736842105
93;64;0.01;0.0001;200;0.7631578947368421
94;64;0.01;0.0001;300;0.7631578947368421
95;64;0.01;0.0001;500;0.7631578947368421
96;64;0.1;0.01;100;0.7894736842105263
97;64;0.1;0.01;200;0.7894736842105263
98;64;0.1;0.01;300;0.7368421052631579
99;64;0.1;0.01;500;0.7368421052631579
100;64;0.1;0.001;100;0.7368421052631579
101;64;0.1;0.001;200;0.7631578947368421
102;64;0.1;0.001;300;0.8157894736842105
103;64;0.1;0.001;500;0.8157894736842105
104;64;0.1;0.0001;100;0.7894736842105263
105;64;0.1;0.0001;200;0.7368421052631579
106;64;0.1;0.0001;300;0.7894736842105263
107;64;0.1;0.0001;500;0.8157894736842105
