index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
0;16;0.001;0.0001;100;0.7105263157894737
1;16;0.001;0.0001;200;0.7368421052631579
2;16;0.001;0.0001;300;0.7631578947368421
3;16;0.001;0.0001;500;0.7631578947368421
4;16;0.001;0.0001;700;0.7368421052631579
5;16;0.001;0.0005;100;0.7105263157894737
6;16;0.001;0.0005;200;0.7368421052631579
7;16;0.001;0.0005;300;0.7631578947368421
8;16;0.001;0.0005;500;0.7631578947368421
9;16;0.001;0.0005;700;0.7631578947368421
10;16;0.01;0.0001;100;0.6578947368421053
11;16;0.01;0.0001;200;0.7631578947368421
12;16;0.01;0.0001;300;0.7105263157894737
13;16;0.01;0.0001;500;0.7368421052631579
14;16;0.01;0.0001;700;0.7105263157894737
15;16;0.01;0.0005;100;0.6052631578947368
16;16;0.01;0.0005;200;0.7631578947368421
17;16;0.01;0.0005;300;0.7368421052631579
18;16;0.01;0.0005;500;0.7631578947368421
19;16;0.01;0.0005;700;0.7368421052631579
20;16;0.05;0.0001;100;0.6842105263157895
21;16;0.05;0.0001;200;0.7631578947368421
22;16;0.05;0.0001;300;0.6842105263157895
23;16;0.05;0.0001;500;0.7368421052631579
24;16;0.05;0.0001;700;0.631578947368421
25;16;0.05;0.0005;100;0.7631578947368421
26;16;0.05;0.0005;200;0.7631578947368421
27;16;0.05;0.0005;300;0.7105263157894737
28;16;0.05;0.0005;500;0.7368421052631579
29;16;0.05;0.0005;700;0.7105263157894737
30;16;0.1;0.0001;100;0.6842105263157895
31;16;0.1;0.0001;200;0.7631578947368421
32;16;0.1;0.0001;300;0.6842105263157895
33;16;0.1;0.0001;500;0.6842105263157895
34;16;0.1;0.0001;700;0.7105263157894737
35;16;0.1;0.0005;100;0.7105263157894737
36;16;0.1;0.0005;200;0.7631578947368421
37;16;0.1;0.0005;300;0.6842105263157895
38;16;0.1;0.0005;500;0.7631578947368421
39;16;0.1;0.0005;700;0.6842105263157895
40;16;0.2;0.0001;100;0.6578947368421053
41;16;0.2;0.0001;200;0.7368421052631579
42;16;0.2;0.0001;300;0.6578947368421053
43;16;0.2;0.0001;500;0.6578947368421053
44;16;0.2;0.0001;700;0.631578947368421
45;16;0.2;0.0005;100;0.7105263157894737
46;16;0.2;0.0005;200;0.7105263157894737
47;16;0.2;0.0005;300;0.7368421052631579
48;16;0.2;0.0005;500;0.6842105263157895
49;16;0.2;0.0005;700;0.6842105263157895
50;16;0.3;0.0001;100;0.631578947368421
51;16;0.3;0.0001;200;0.631578947368421
52;16;0.3;0.0001;300;0.631578947368421
53;16;0.3;0.0001;500;0.631578947368421
54;16;0.3;0.0001;700;0.631578947368421
55;16;0.3;0.0005;100;0.631578947368421
56;16;0.3;0.0005;200;0.631578947368421
57;16;0.3;0.0005;300;0.631578947368421
58;16;0.3;0.0005;500;0.631578947368421
59;16;0.3;0.0005;700;0.631578947368421
60;32;0.001;0.0001;100;0.7368421052631579
61;32;0.001;0.0001;200;0.7631578947368421
62;32;0.001;0.0001;300;0.7631578947368421
63;32;0.001;0.0001;500;0.7631578947368421
64;32;0.001;0.0001;700;0.7368421052631579
65;32;0.001;0.0005;100;0.7368421052631579
66;32;0.001;0.0005;200;0.7631578947368421
67;32;0.001;0.0005;300;0.7631578947368421
68;32;0.001;0.0005;500;0.7631578947368421
69;32;0.001;0.0005;700;0.7368421052631579
70;32;0.01;0.0001;100;0.7631578947368421
71;32;0.01;0.0001;200;0.7631578947368421
72;32;0.01;0.0001;300;0.631578947368421
73;32;0.01;0.0001;500;0.7368421052631579
74;32;0.01;0.0001;700;0.7631578947368421
75;32;0.01;0.0005;100;0.7631578947368421
76;32;0.01;0.0005;200;0.7368421052631579
77;32;0.01;0.0005;300;0.6578947368421053
78;32;0.01;0.0005;500;0.7368421052631579
79;32;0.01;0.0005;700;0.7631578947368421
80;32;0.05;0.0001;100;0.7631578947368421
81;32;0.05;0.0001;200;0.7631578947368421
82;32;0.05;0.0001;300;0.7631578947368421
83;32;0.05;0.0001;500;0.7105263157894737
84;32;0.05;0.0001;700;0.7105263157894737
85;32;0.05;0.0005;100;0.7631578947368421
86;32;0.05;0.0005;200;0.7631578947368421
87;32;0.05;0.0005;300;0.6842105263157895
88;32;0.05;0.0005;500;0.7368421052631579
89;32;0.05;0.0005;700;0.6842105263157895
90;32;0.1;0.0001;100;0.7105263157894737
91;32;0.1;0.0001;200;0.6842105263157895
92;32;0.1;0.0001;300;0.7105263157894737
93;32;0.1;0.0001;500;0.7368421052631579
94;32;0.1;0.0001;700;0.7105263157894737
95;32;0.1;0.0005;100;0.7368421052631579
96;32;0.1;0.0005;200;0.6842105263157895
97;32;0.1;0.0005;300;0.7105263157894737
98;32;0.1;0.0005;500;0.6842105263157895
99;32;0.1;0.0005;700;0.6842105263157895
100;32;0.2;0.0001;100;0.7105263157894737
101;32;0.2;0.0001;200;0.7368421052631579
102;32;0.2;0.0001;300;0.631578947368421
103;32;0.2;0.0001;500;0.7368421052631579
104;32;0.2;0.0001;700;0.7105263157894737
105;32;0.2;0.0005;100;0.7631578947368421
106;32;0.2;0.0005;200;0.6578947368421053
107;32;0.2;0.0005;300;0.7368421052631579
108;32;0.2;0.0005;500;0.6842105263157895
109;32;0.2;0.0005;700;0.631578947368421
110;32;0.3;0.0001;100;0.7368421052631579
111;32;0.3;0.0001;200;0.631578947368421
112;32;0.3;0.0001;300;0.7368421052631579
113;32;0.3;0.0001;500;0.6578947368421053
114;32;0.3;0.0001;700;0.631578947368421
115;32;0.3;0.0005;100;0.6842105263157895
116;32;0.3;0.0005;200;0.7105263157894737
117;32;0.3;0.0005;300;0.631578947368421
118;32;0.3;0.0005;500;0.631578947368421
119;32;0.3;0.0005;700;0.6842105263157895
120;64;0.001;0.0001;100;0.7631578947368421
121;64;0.001;0.0001;200;0.7631578947368421
122;64;0.001;0.0001;300;0.7368421052631579
123;64;0.001;0.0001;500;0.7368421052631579
124;64;0.001;0.0001;700;0.7105263157894737
125;64;0.001;0.0005;100;0.7631578947368421
126;64;0.001;0.0005;200;0.7631578947368421
127;64;0.001;0.0005;300;0.7368421052631579
128;64;0.001;0.0005;500;0.7368421052631579
129;64;0.001;0.0005;700;0.7368421052631579
130;64;0.01;0.0001;100;0.7631578947368421
131;64;0.01;0.0001;200;0.7368421052631579
132;64;0.01;0.0001;300;0.7631578947368421
133;64;0.01;0.0001;500;0.7105263157894737
134;64;0.01;0.0001;700;0.7368421052631579
135;64;0.01;0.0005;100;0.7631578947368421
136;64;0.01;0.0005;200;0.7368421052631579
137;64;0.01;0.0005;300;0.7631578947368421
138;64;0.01;0.0005;500;0.7368421052631579
139;64;0.01;0.0005;700;0.7631578947368421
140;64;0.05;0.0001;100;0.6842105263157895
141;64;0.05;0.0001;200;0.7368421052631579
142;64;0.05;0.0001;300;0.7368421052631579
143;64;0.05;0.0001;500;0.6842105263157895
144;64;0.05;0.0001;700;0.7631578947368421
145;64;0.05;0.0005;100;0.6842105263157895
146;64;0.05;0.0005;200;0.6842105263157895
147;64;0.05;0.0005;300;0.7368421052631579
148;64;0.05;0.0005;500;0.7631578947368421
149;64;0.05;0.0005;700;0.7631578947368421
150;64;0.1;0.0001;100;0.7105263157894737
151;64;0.1;0.0001;200;0.7368421052631579
152;64;0.1;0.0001;300;0.7105263157894737
153;64;0.1;0.0001;500;0.7631578947368421
154;64;0.1;0.0001;700;0.7105263157894737
155;64;0.1;0.0005;100;0.6842105263157895
156;64;0.1;0.0005;200;0.7105263157894737
157;64;0.1;0.0005;300;0.6842105263157895
158;64;0.1;0.0005;500;0.6842105263157895
159;64;0.1;0.0005;700;0.7105263157894737
160;64;0.2;0.0001;100;0.7105263157894737
161;64;0.2;0.0001;200;0.6842105263157895
162;64;0.2;0.0001;300;0.631578947368421
163;64;0.2;0.0001;500;0.631578947368421
164;64;0.2;0.0001;700;0.6578947368421053
165;64;0.2;0.0005;100;0.7368421052631579
166;64;0.2;0.0005;200;0.7105263157894737
167;64;0.2;0.0005;300;0.6578947368421053
168;64;0.2;0.0005;500;0.631578947368421
169;64;0.2;0.0005;700;0.7368421052631579
170;64;0.3;0.0001;100;0.631578947368421
171;64;0.3;0.0001;200;0.631578947368421
172;64;0.3;0.0001;300;0.631578947368421
173;64;0.3;0.0001;500;0.631578947368421
174;64;0.3;0.0001;700;0.631578947368421
175;64;0.3;0.0005;100;0.7368421052631579
176;64;0.3;0.0005;200;0.6578947368421053
177;64;0.3;0.0005;300;0.7368421052631579
178;64;0.3;0.0005;500;0.7368421052631579
179;64;0.3;0.0005;700;0.7368421052631579
