index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
0;16;0.001;0.0001;100;0.706
1;16;0.001;0.0001;200;0.763
2;16;0.001;0.0001;300;0.799
3;16;0.001;0.0001;500;0.815
4;16;0.001;0.0001;700;0.81
5;16;0.001;0.0005;100;0.694
6;16;0.001;0.0005;200;0.752
7;16;0.001;0.0005;300;0.794
8;16;0.001;0.0005;500;0.816
9;16;0.001;0.0005;700;0.816
10;16;0.001;0.01;100;0.457
11;16;0.001;0.01;200;0.321
12;16;0.001;0.01;300;0.265
13;16;0.001;0.01;500;0.194
14;16;0.001;0.01;700;0.174
15;16;0.001;0.05;100;0.208
16;16;0.001;0.05;200;0.175
17;16;0.001;0.05;300;0.169
18;16;0.001;0.05;500;0.166
19;16;0.001;0.05;700;0.161
20;16;0.01;0.0001;100;0.808
21;16;0.01;0.0001;200;0.817
22;16;0.01;0.0001;300;0.81
23;16;0.01;0.0001;500;0.807
24;16;0.01;0.0001;700;0.804
25;16;0.01;0.0005;100;0.819
26;16;0.01;0.0005;200;0.805
27;16;0.01;0.0005;300;0.81
28;16;0.01;0.0005;500;0.805
29;16;0.01;0.0005;700;0.803
30;16;0.01;0.01;100;0.151
31;16;0.01;0.01;200;0.148
32;16;0.01;0.01;300;0.148
33;16;0.01;0.01;500;0.148
34;16;0.01;0.01;700;0.148
35;16;0.01;0.05;100;0.063
36;16;0.01;0.05;200;0.13
37;16;0.01;0.05;300;0.319
38;16;0.01;0.05;500;0.144
39;16;0.01;0.05;700;0.319
40;16;0.05;0.0001;100;0.809
41;16;0.05;0.0001;200;0.807
42;16;0.05;0.0001;300;0.809
43;16;0.05;0.0001;500;0.811
44;16;0.05;0.0001;700;0.808
45;16;0.05;0.0005;100;0.809
46;16;0.05;0.0005;200;0.808
47;16;0.05;0.0005;300;0.807
48;16;0.05;0.0005;500;0.806
49;16;0.05;0.0005;700;0.807
50;16;0.05;0.01;100;0.151
51;16;0.05;0.01;200;0.148
