index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
153;64;0.1;0.0001;500;0.7631578947368421
139;64;0.01;0.0005;700;0.7631578947368421
80;32;0.05;0.0001;100;0.7631578947368421
61;32;0.001;0.0001;200;0.7631578947368421
31;16;0.1;0.0001;200;0.7631578947368421
79;32;0.01;0.0005;700;0.7631578947368421
149;64;0.05;0.0005;700;0.7631578947368421
36;16;0.1;0.0005;200;0.7631578947368421
148;64;0.05;0.0005;500;0.7631578947368421
38;16;0.1;0.0005;500;0.7631578947368421
144;64;0.05;0.0001;700;0.7631578947368421
75;32;0.01;0.0005;100;0.7631578947368421
74;32;0.01;0.0001;700;0.7631578947368421
71;32;0.01;0.0001;200;0.7631578947368421
82;32;0.05;0.0001;300;0.7631578947368421
137;64;0.01;0.0005;300;0.7631578947368421
70;32;0.01;0.0001;100;0.7631578947368421
135;64;0.01;0.0005;100;0.7631578947368421
68;32;0.001;0.0005;500;0.7631578947368421
67;32;0.001;0.0005;300;0.7631578947368421
132;64;0.01;0.0001;300;0.7631578947368421
66;32;0.001;0.0005;200;0.7631578947368421
130;64;0.01;0.0001;100;0.7631578947368421
63;32;0.001;0.0001;500;0.7631578947368421
126;64;0.001;0.0005;200;0.7631578947368421
125;64;0.001;0.0005;100;0.7631578947368421
81;32;0.05;0.0001;200;0.7631578947368421
62;32;0.001;0.0001;300;0.7631578947368421
26;16;0.05;0.0005;200;0.7631578947368421
120;64;0.001;0.0001;100;0.7631578947368421
11;16;0.01;0.0001;200;0.7631578947368421
8;16;0.001;0.0005;500;0.7631578947368421
7;16;0.001;0.0005;300;0.7631578947368421
25;16;0.05;0.0005;100;0.7631578947368421
105;32;0.2;0.0005;100;0.7631578947368421
16;16;0.01;0.0005;200;0.7631578947368421
18;16;0.01;0.0005;500;0.7631578947368421
86;32;0.05;0.0005;200;0.7631578947368421
21;16;0.05;0.0001;200;0.7631578947368421
3;16;0.001;0.0001;500;0.7631578947368421
85;32;0.05;0.0005;100;0.7631578947368421
121;64;0.001;0.0001;200;0.7631578947368421
2;16;0.001;0.0001;300;0.7631578947368421
9;16;0.001;0.0005;700;0.7631578947368421
107;32;0.2;0.0005;300;0.7368421052631579
64;32;0.001;0.0001;700;0.7368421052631579
65;32;0.001;0.0005;100;0.7368421052631579
103;32;0.2;0.0001;500;0.7368421052631579
95;32;0.1;0.0005;100;0.7368421052631579
112;32;0.3;0.0001;300;0.7368421052631579
69;32;0.001;0.0005;700;0.7368421052631579
93;32;0.1;0.0001;500;0.7368421052631579
110;32;0.3;0.0001;100;0.7368421052631579
73;32;0.01;0.0001;500;0.7368421052631579
1;16;0.001;0.0001;200;0.7368421052631579
88;32;0.05;0.0005;500;0.7368421052631579
76;32;0.01;0.0005;200;0.7368421052631579
123;64;0.001;0.0001;500;0.7368421052631579
78;32;0.01;0.0005;500;0.7368421052631579
122;64;0.001;0.0001;300;0.7368421052631579
179;64;0.3;0.0005;700;0.7368421052631579
134;64;0.01;0.0001;700;0.7368421052631579
60;32;0.001;0.0001;100;0.7368421052631579
151;64;0.1;0.0001;200;0.7368421052631579
4;16;0.001;0.0001;700;0.7368421052631579
178;64;0.3;0.0005;500;0.7368421052631579
6;16;0.001;0.0005;200;0.7368421052631579
177;64;0.3;0.0005;300;0.7368421052631579
175;64;0.3;0.0005;100;0.7368421052631579
13;16;0.01;0.0001;500;0.7368421052631579
169;64;0.2;0.0005;700;0.7368421052631579
17;16;0.01;0.0005;300;0.7368421052631579
19;16;0.01;0.0005;700;0.7368421052631579
165;64;0.2;0.0005;100;0.7368421052631579
23;16;0.05;0.0001;500;0.7368421052631579
127;64;0.001;0.0005;300;0.7368421052631579
28;16;0.05;0.0005;500;0.7368421052631579
138;64;0.01;0.0005;500;0.7368421052631579
141;64;0.05;0.0001;200;0.7368421052631579
128;64;0.001;0.0005;500;0.7368421052631579
129;64;0.001;0.0005;700;0.7368421052631579
131;64;0.01;0.0001;200;0.7368421052631579
136;64;0.01;0.0005;200;0.7368421052631579
47;16;0.2;0.0005;300;0.7368421052631579
147;64;0.05;0.0005;300;0.7368421052631579
101;32;0.2;0.0001;200;0.7368421052631579
142;64;0.05;0.0001;300;0.7368421052631579
41;16;0.2;0.0001;200;0.7368421052631579
160;64;0.2;0.0001;100;0.7105263157894737
124;64;0.001;0.0001;700;0.7105263157894737
116;32;0.3;0.0005;200;0.7105263157894737
166;64;0.2;0.0005;200;0.7105263157894737
159;64;0.1;0.0005;700;0.7105263157894737
156;64;0.1;0.0005;200;0.7105263157894737
100;32;0.2;0.0001;100;0.7105263157894737
133;64;0.01;0.0001;500;0.7105263157894737
154;64;0.1;0.0001;700;0.7105263157894737
104;32;0.2;0.0001;700;0.7105263157894737
152;64;0.1;0.0001;300;0.7105263157894737
150;64;0.1;0.0001;100;0.7105263157894737
0;16;0.001;0.0001;100;0.7105263157894737
90;32;0.1;0.0001;100;0.7105263157894737
92;32;0.1;0.0001;300;0.7105263157894737
46;16;0.2;0.0005;200;0.7105263157894737
45;16;0.2;0.0005;100;0.7105263157894737
35;16;0.1;0.0005;100;0.7105263157894737
83;32;0.05;0.0001;500;0.7105263157894737
84;32;0.05;0.0001;700;0.7105263157894737
34;16;0.1;0.0001;700;0.7105263157894737
27;16;0.05;0.0005;300;0.7105263157894737
29;16;0.05;0.0005;700;0.7105263157894737
94;32;0.1;0.0001;700;0.7105263157894737
14;16;0.01;0.0001;700;0.7105263157894737
5;16;0.001;0.0005;100;0.7105263157894737
97;32;0.1;0.0005;300;0.7105263157894737
12;16;0.01;0.0001;300;0.7105263157894737
143;64;0.05;0.0001;500;0.6842105263157895
145;64;0.05;0.0005;100;0.6842105263157895
146;64;0.05;0.0005;200;0.6842105263157895
39;16;0.1;0.0005;700;0.6842105263157895
37;16;0.1;0.0005;300;0.6842105263157895
22;16;0.05;0.0001;300;0.6842105263157895
158;64;0.1;0.0005;500;0.6842105263157895
20;16;0.05;0.0001;100;0.6842105263157895
33;16;0.1;0.0001;500;0.6842105263157895
32;16;0.1;0.0001;300;0.6842105263157895
30;16;0.1;0.0001;100;0.6842105263157895
49;16;0.2;0.0005;700;0.6842105263157895
155;64;0.1;0.0005;100;0.6842105263157895
161;64;0.2;0.0001;200;0.6842105263157895
157;64;0.1;0.0005;300;0.6842105263157895
48;16;0.2;0.0005;500;0.6842105263157895
99;32;0.1;0.0005;700;0.6842105263157895
140;64;0.05;0.0001;100;0.6842105263157895
98;32;0.1;0.0005;500;0.6842105263157895
91;32;0.1;0.0001;200;0.6842105263157895
96;32;0.1;0.0005;200;0.6842105263157895
115;32;0.3;0.0005;100;0.6842105263157895
89;32;0.05;0.0005;700;0.6842105263157895
108;32;0.2;0.0005;500;0.6842105263157895
119;32;0.3;0.0005;700;0.6842105263157895
87;32;0.05;0.0005;300;0.6842105263157895
77;32;0.01;0.0005;300;0.6578947368421053
113;32;0.3;0.0001;500;0.6578947368421053
164;64;0.2;0.0001;700;0.6578947368421053
167;64;0.2;0.0005;300;0.6578947368421053
106;32;0.2;0.0005;200;0.6578947368421053
40;16;0.2;0.0001;100;0.6578947368421053
42;16;0.2;0.0001;300;0.6578947368421053
43;16;0.2;0.0001;500;0.6578947368421053
176;64;0.3;0.0005;200;0.6578947368421053
10;16;0.01;0.0001;100;0.6578947368421053
109;32;0.2;0.0005;700;0.631578947368421
168;64;0.2;0.0005;500;0.631578947368421
170;64;0.3;0.0001;100;0.631578947368421
171;64;0.3;0.0001;200;0.631578947368421
172;64;0.3;0.0001;300;0.631578947368421
173;64;0.3;0.0001;500;0.631578947368421
174;64;0.3;0.0001;700;0.631578947368421
163;64;0.2;0.0001;500;0.631578947368421
162;64;0.2;0.0001;300;0.631578947368421
51;16;0.3;0.0001;200;0.631578947368421
111;32;0.3;0.0001;200;0.631578947368421
24;16;0.05;0.0001;700;0.631578947368421
52;16;0.3;0.0001;300;0.631578947368421
53;16;0.3;0.0001;500;0.631578947368421
54;16;0.3;0.0001;700;0.631578947368421
55;16;0.3;0.0005;100;0.631578947368421
44;16;0.2;0.0001;700;0.631578947368421
102;32;0.2;0.0001;300;0.631578947368421
56;16;0.3;0.0005;200;0.631578947368421
57;16;0.3;0.0005;300;0.631578947368421
58;16;0.3;0.0005;500;0.631578947368421
59;16;0.3;0.0005;700;0.631578947368421
72;32;0.01;0.0001;300;0.631578947368421
118;32;0.3;0.0005;500;0.631578947368421
117;32;0.3;0.0005;300;0.631578947368421
50;16;0.3;0.0001;100;0.631578947368421
114;32;0.3;0.0001;700;0.631578947368421
15;16;0.01;0.0005;100;0.6052631578947368
