index;hidden_channels;learning_rate;weight_decay;num_epochs;test_accuracy
260;64;0.01;0.0001;100;0.82
247;64;0.001;0.0005;300;0.82
248;64;0.001;0.0005;500;0.819
25;16;0.01;0.0005;100;0.819
244;64;0.001;0.0001;700;0.818
140;32;0.01;0.0001;100;0.817
21;16;0.01;0.0001;200;0.817
285;64;0.05;0.0005;100;0.817
287;64;0.05;0.0005;300;0.816
306;64;0.1;0.0005;200;0.816
9;16;0.001;0.0005;700;0.816
227;32;0.3;0.0005;300;0.816
265;64;0.01;0.0005;100;0.816
8;16;0.001;0.0005;500;0.816
69;16;0.1;0.0005;700;0.815
3;16;0.001;0.0001;500;0.815
225;32;0.3;0.0005;100;0.814
329;64;0.2;0.0005;700;0.814
325;64;0.2;0.0005;100;0.813
169;32;0.05;0.0005;700;0.813
165;32;0.05;0.0005;100;0.813
200;32;0.2;0.0001;100;0.813
187;32;0.1;0.0005;300;0.813
129;32;0.001;0.0005;700;0.812
262;64;0.01;0.0001;300;0.812
108;16;0.3;0.0005;500;0.812
242;64;0.001;0.0001;300;0.812
280;64;0.05;0.0001;100;0.812
267;64;0.01;0.0005;300;0.812
347;64;0.3;0.0005;300;0.812
249;64;0.001;0.0005;700;0.812
223;32;0.3;0.0001;500;0.811
43;16;0.05;0.0001;500;0.811
128;32;0.001;0.0005;500;0.811
226;32;0.3;0.0005;200;0.81
241;64;0.001;0.0001;200;0.81
146;32;0.01;0.0005;200;0.81
261;64;0.01;0.0001;200;0.81
27;16;0.01;0.0005;300;0.81
147;32;0.01;0.0005;300;0.81
160;32;0.05;0.0001;100;0.81
4;16;0.001;0.0001;700;0.81
186;32;0.1;0.0005;200;0.81
22;16;0.01;0.0001;300;0.81
243;64;0.001;0.0001;500;0.809
266;64;0.01;0.0005;200;0.809
289;64;0.05;0.0005;700;0.809
40;16;0.05;0.0001;100;0.809
308;64;0.1;0.0005;500;0.809
109;16;0.3;0.0005;700;0.809
268;64;0.01;0.0005;500;0.809
42;16;0.05;0.0001;300;0.809
263;64;0.01;0.0001;500;0.809
163;32;0.05;0.0001;500;0.809
349;64;0.3;0.0005;700;0.809
106;16;0.3;0.0005;200;0.809
104;16;0.3;0.0001;700;0.809
45;16;0.05;0.0005;100;0.809
346;64;0.3;0.0005;200;0.808
166;32;0.05;0.0005;200;0.808
67;16;0.1;0.0005;300;0.808
246;64;0.001;0.0005;200;0.808
20;16;0.01;0.0001;100;0.808
209;32;0.2;0.0005;700;0.808
89;16;0.2;0.0005;700;0.808
305;64;0.1;0.0005;100;0.808
149;32;0.01;0.0005;700;0.808
143;32;0.01;0.0001;500;0.808
86;16;0.2;0.0005;200;0.808
322;64;0.2;0.0001;300;0.808
46;16;0.05;0.0005;200;0.808
44;16;0.05;0.0001;700;0.808
320;64;0.2;0.0001;100;0.808
264;64;0.01;0.0001;700;0.807
269;64;0.01;0.0005;700;0.807
144;32;0.01;0.0001;700;0.807
282;64;0.05;0.0001;300;0.807
66;16;0.1;0.0005;200;0.807
64;16;0.1;0.0001;700;0.807
62;16;0.1;0.0001;300;0.807
303;64;0.1;0.0001;500;0.807
49;16;0.05;0.0005;700;0.807
183;32;0.1;0.0001;500;0.807
47;16;0.05;0.0005;300;0.807
41;16;0.05;0.0001;200;0.807
68;16;0.1;0.0005;500;0.807
206;32;0.2;0.0005;200;0.807
345;64;0.3;0.0005;100;0.807
168;32;0.05;0.0005;500;0.807
188;32;0.1;0.0005;500;0.807
23;16;0.01;0.0001;500;0.807
167;32;0.05;0.0005;300;0.806
148;32;0.01;0.0005;500;0.806
202;32;0.2;0.0001;300;0.806
205;32;0.2;0.0005;100;0.806
107;16;0.3;0.0005;300;0.806
180;32;0.1;0.0001;100;0.806
181;32;0.1;0.0001;200;0.806
304;64;0.1;0.0001;700;0.806
324;64;0.2;0.0001;700;0.806
309;64;0.1;0.0005;700;0.806
300;64;0.1;0.0001;100;0.806
288;64;0.05;0.0005;500;0.806
61;16;0.1;0.0001;200;0.806
48;16;0.05;0.0005;500;0.806
28;16;0.01;0.0005;500;0.805
142;32;0.01;0.0001;300;0.805
342;64;0.3;0.0001;300;0.805
141;32;0.01;0.0001;200;0.805
60;16;0.1;0.0001;100;0.805
124;32;0.001;0.0001;700;0.805
204;32;0.2;0.0001;700;0.805
164;32;0.05;0.0001;700;0.805
87;16;0.2;0.0005;300;0.805
307;64;0.1;0.0005;300;0.805
65;16;0.1;0.0005;100;0.805
84;16;0.2;0.0001;700;0.805
184;32;0.1;0.0001;700;0.805
207;32;0.2;0.0005;300;0.805
85;16;0.2;0.0005;100;0.805
83;16;0.2;0.0001;500;0.805
301;64;0.1;0.0001;200;0.805
26;16;0.01;0.0005;200;0.805
185;32;0.1;0.0005;100;0.805
283;64;0.05;0.0001;500;0.805
81;16;0.2;0.0001;200;0.804
284;64;0.05;0.0001;700;0.804
327;64;0.2;0.0005;300;0.804
203;32;0.2;0.0001;500;0.804
63;16;0.1;0.0001;500;0.804
105;16;0.3;0.0005;100;0.804
24;16;0.01;0.0001;700;0.804
229;32;0.3;0.0005;700;0.804
286;64;0.05;0.0005;200;0.804
145;32;0.01;0.0005;100;0.803
123;32;0.001;0.0001;500;0.803
29;16;0.01;0.0005;700;0.803
341;64;0.3;0.0001;200;0.803
201;32;0.2;0.0001;200;0.803
189;32;0.1;0.0005;700;0.803
82;16;0.2;0.0001;300;0.803
323;64;0.2;0.0001;500;0.803
221;32;0.3;0.0001;200;0.802
224;32;0.3;0.0001;700;0.802
208;32;0.2;0.0005;500;0.802
343;64;0.3;0.0001;500;0.802
102;16;0.3;0.0001;300;0.802
101;16;0.3;0.0001;200;0.801
161;32;0.05;0.0001;200;0.801
162;32;0.05;0.0001;300;0.8
228;32;0.3;0.0005;500;0.8
2;16;0.001;0.0001;300;0.799
127;32;0.001;0.0005;300;0.798
281;64;0.05;0.0001;200;0.798
302;64;0.1;0.0001;300;0.797
103;16;0.3;0.0001;500;0.797
326;64;0.2;0.0005;200;0.796
321;64;0.2;0.0001;200;0.794
222;32;0.3;0.0001;300;0.794
7;16;0.001;0.0005;300;0.794
88;16;0.2;0.0005;500;0.794
340;64;0.3;0.0001;100;0.793
122;32;0.001;0.0001;300;0.793
220;32;0.3;0.0001;100;0.79
100;16;0.3;0.0001;100;0.783
126;32;0.001;0.0005;200;0.769
121;32;0.001;0.0001;200;0.768
1;16;0.001;0.0001;200;0.763
80;16;0.2;0.0001;100;0.759
328;64;0.2;0.0005;500;0.758
245;64;0.001;0.0005;100;0.756
240;64;0.001;0.0001;100;0.752
6;16;0.001;0.0005;200;0.752
182;32;0.1;0.0001;300;0.75
344;64;0.3;0.0001;700;0.732
120;32;0.001;0.0001;100;0.722
125;32;0.001;0.0005;100;0.716
0;16;0.001;0.0001;100;0.706
348;64;0.3;0.0005;500;0.701
5;16;0.001;0.0005;100;0.694
130;32;0.001;0.01;100;0.483
10;16;0.001;0.01;100;0.457
250;64;0.001;0.01;100;0.335
11;16;0.001;0.01;200;0.321
219;32;0.2;0.05;700;0.319
277;64;0.01;0.05;300;0.319
177;32;0.05;0.05;300;0.319
39;16;0.01;0.05;700;0.319
116;16;0.3;0.05;200;0.319
159;32;0.01;0.05;700;0.319
37;16;0.01;0.05;300;0.319
217;32;0.2;0.05;300;0.319
197;32;0.1;0.05;300;0.319
317;64;0.1;0.05;300;0.319
12;16;0.001;0.01;300;0.265
131;32;0.001;0.01;200;0.26
135;32;0.001;0.05;100;0.233
255;64;0.001;0.05;100;0.215
15;16;0.001;0.05;100;0.208
132;32;0.001;0.01;300;0.204
94;16;0.2;0.01;700;0.202
13;16;0.001;0.01;500;0.194
256;64;0.001;0.05;200;0.19
136;32;0.001;0.05;200;0.189
313;64;0.1;0.01;500;0.181
353;64;0.3;0.01;500;0.177
71;16;0.1;0.01;200;0.175
257;64;0.001;0.05;300;0.175
16;16;0.001;0.05;200;0.175
14;16;0.001;0.01;700;0.174
310;64;0.1;0.01;100;0.173
258;64;0.001;0.05;500;0.172
113;16;0.3;0.01;500;0.172
133;32;0.001;0.01;500;0.172
137;32;0.001;0.05;300;0.17
251;64;0.001;0.01;200;0.169
17;16;0.001;0.05;300;0.169
18;16;0.001;0.05;500;0.166
252;64;0.001;0.01;300;0.165
73;16;0.1;0.01;500;0.165
253;64;0.001;0.01;500;0.162
173;32;0.05;0.01;500;0.161
19;16;0.001;0.05;700;0.161
70;16;0.1;0.01;100;0.159
138;32;0.001;0.05;500;0.159
134;32;0.001;0.01;700;0.157
74;16;0.1;0.01;700;0.155
139;32;0.001;0.05;700;0.155
